fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
kamranahmedse/developer-roadmap,0,0,0,1,0,1,0,0,0,178298,178298,25570,0,kamranahmedse/developer-roadmap,102.0,0.0,2.0,0.0,1058.0,98.0,485.0,583.0,24.0,381.0,405.0,0.0,75.0,kamranahmedse/developer-roadmap,2017-03-15 13:45:52,1850,0.0,0.0551351351351351,0.0,0.001081081081081,0.5718918918918919,0.0,0
microsoft/vscode,0,1,0,1,0,1,1,1,0,124900,124900,20875,1,microsoft/vscode,1971.0,0.0,2.0,0.0,94139.0,5524.0,124269.0,129793.0,266.0,11127.0,11393.0,7.0,102.0,microsoft/vscode,2015-09-03 20:23:38,2409,0.0,0.8181818181818182,0.0,0.0008302200083022,39.0780406807804,0.0,0
angular/angular,1,1,0,1,1,1,1,1,0,78043,78043,20482,2,angular/angular,1743.0,0.0,2.0,0.0,24040.0,1516.0,22152.0,23668.0,84.0,20620.0,20704.0,3.0,75.0,angular/angular,2014-09-18 16:12:01,2759,0.0,0.6317506342877854,0.0,0.0007249003262051,8.713301920985865,0.0,0
microsoft/TypeScript,0,1,0,1,1,1,1,1,0,76364,76364,10002,3,microsoft/TypeScript,766.0,1832.0,30.0,30.0,33095.0,5177.0,27856.0,33033.0,279.0,13952.0,14231.0,10.0,66.0,microsoft/TypeScript,2014-06-17 15:28:39,2852,0.6423562412342216,0.2685834502103786,0.0105189340813464,0.0105189340813464,11.60413744740533,1.0,0
ant-design/ant-design,1,1,0,1,0,0,0,1,0,76031,76031,31470,4,ant-design/ant-design,1797.0,0.0,2.0,0.0,21658.0,761.0,22476.0,23237.0,47.0,10281.0,10328.0,2.0,258.0,ant-design/ant-design,2015-04-24 15:37:24,2541,0.0,0.7072018890200709,0.0,0.0007870916961826,8.523415977961433,0.0,0
puppeteer/puppeteer,1,1,0,1,0,1,1,1,0,74949,74949,7921,5,puppeteer/puppeteer,429.0,0.0,2.0,0.0,2478.0,1802.0,3438.0,5240.0,9.0,2748.0,2757.0,2.0,203.0,puppeteer/puppeteer,2017-05-09 22:16:13,1795,0.0,0.2389972144846796,0.0,0.0011142061281337,1.3805013927576602,0.0,0
storybookjs/storybook,1,1,0,1,0,1,1,1,0,66979,66979,6843,6,storybookjs/storybook,1719.0,0.0,2.0,0.0,38758.0,1605.0,7166.0,8771.0,109.0,7909.0,8018.0,1.0,276.0,storybookjs/storybook,2016-03-18 04:23:44,2212,0.0,0.777124773960217,0.0,0.0009041591320072,17.521699819168173,0.0,0
reduxjs/redux,1,1,0,1,1,1,1,0,0,57119,57119,14973,7,reduxjs/redux,930.0,0.0,2.0,0.0,3483.0,40.0,1899.0,1939.0,14.0,2247.0,2261.0,4.0,228.0,reduxjs/redux,2015-05-29 23:53:15,2506,0.0,0.3711093375897845,0.0,0.0007980845969672,1.3898643256185157,0.0,0
socketio/socket.io,1,1,0,1,0,1,1,0,0,54834,54834,9930,8,socketio/socket.io,207.0,0.0,2.0,0.0,1907.0,92.0,3080.0,3172.0,8.0,794.0,802.0,3.0,133.0,socketio/socket.io,2010-03-11 18:24:48,4411,0.0,0.0469281342099297,0.0,0.0004534119247336,0.4323282702335071,0.0,0
sveltejs/svelte,0,1,0,1,0,1,1,0,0,53386,53386,2562,9,sveltejs/svelte,537.0,0.0,2.0,0.0,6658.0,568.0,3676.0,4244.0,129.0,2831.0,2960.0,3.0,83.0,sveltejs/svelte,2016-11-20 18:13:05,1965,0.0,0.2732824427480916,0.0,0.0010178117048346,3.388295165394402,0.0,0
apache/echarts,1,1,0,1,0,1,1,1,0,48982,48982,18328,11,apache/echarts,199.0,0.0,2.0,0.0,8544.0,1994.0,13287.0,15281.0,66.0,1267.0,1333.0,2.0,97.0,apache/echarts,2013-04-03 03:18:59,3292,0.0,0.0604495747266099,0.0,0.0006075334143377,2.595382746051033,0.0,0
ionic-team/ionic-framework,1,1,0,1,0,1,1,1,0,45692,45692,13462,12,ionic-team/ionic-framework,489.0,0.0,2.0,0.0,11426.0,598.0,19162.0,19760.0,50.0,4862.0,4912.0,3.0,93.0,ionic-team/ionic-framework,2013-08-20 23:06:02,3153,0.0,0.1550903901046622,0.0,0.0006343165239454,3.6238503013003487,0.0,0
grafana/grafana,0,0,0,1,0,1,1,1,0,45209,45209,9028,13,grafana/grafana,1902.0,0.0,2.0,0.0,33901.0,2031.0,21395.0,23426.0,296.0,21362.0,21658.0,15.0,215.0,grafana/grafana,2013-12-11 15:59:56,3040,0.0,0.6256578947368421,0.0,0.0006578947368421,11.151644736842105,0.0,0
remix-run/react-router,1,1,0,1,1,0,0,1,0,45157,45157,8722,14,remix-run/react-router,765.0,0.0,2.0,0.0,5232.0,60.0,6257.0,6317.0,6.0,2221.0,2227.0,2.0,64.0,remix-run/react-router,2014-05-16 22:22:51,2884,0.0,0.265256588072122,0.0,0.0006934812760055,1.8141470180305133,0.0,0
nestjs/nest,1,1,0,1,0,1,1,1,0,42618,42618,4482,15,nestjs/nest,355.0,0.0,2.0,0.0,10260.0,50.0,4002.0,4052.0,48.0,4939.0,4987.0,0.0,228.0,nestjs/nest,2017-02-04 20:12:52,1889,0.0,0.1879301217575436,0.0,0.0010587612493382,5.431445209105346,0.0,0
